,date,time,open,high,low,close,jdiff_vol,value,jongchk,rate,sign
161,20231228,150400,10250,10260,10250,10260,151,2,0,0.00,2
162,20231228,150500,10260,10260,10250,10260,895,9,0,0.00,2
163,20231228,150600,10260,10260,10250,10260,1117,11,0,0.00,2
164,20231228,150700,10260,10260,10250,10260,860,9,0,0.00,2
165,20231228,150800,10260,10270,10250,10260,6958,71,0,0.00,2
166,20231228,150900,10270,10270,10260,10270,996,10,0,0.00,2
167,20231228,151000,10260,10270,10260,10270,1396,14,0,0.00,2
168,20231228,151100,10260,10270,10260,10270,1517,16,0,0.00,2
169,20231228,151200,10270,10270,10260,10270,1721,18,0,0.00,2
170,20231228,151300,10270,10300,10270,10290,20563,211,0,0.00,2
171,20231228,151400,10270,10280,10270,10280,768,8,0,0.00,2
172,20231228,151500,10270,10280,10270,10270,950,10,0,0.00,2
173,20231228,151600,10280,10280,10270,10270,960,10,0,0.00,2
174,20231228,151700,10280,10280,10270,10270,1594,16,0,0.00,2
175,20231228,151800,10270,10280,10270,10280,1589,16,0,0.00,2
176,20231228,151900,10280,10280,10270,10270,5659,58,0,0.00,2
177,20231228,152000,10280,10280,10270,10270,3318,34,0,0.00,2
178,20231228,153000,10330,10330,10330,10330,95311,985,0,0.00,2
179,20240102,100100,10250,10280,10250,10250,4978,51,0,0,5
180,20240102,100200,10250,10260,10230,10240,1595,16,0,0,5
181,20240102,100300,10230,10240,10220,10220,1908,20,0,0,5
182,20240102,100400,10220,10230,10220,10230,541,6,0,0,5
183,20240102,100500,10230,10230,10210,10220,3322,34,0,0,5
184,20240102,100600,10220,10220,10210,10220,1440,15,0,0,5
185,20240102,100700,10220,10220,10200,10200,2648,27,0,0,5
186,20240102,100800,10200,10220,10200,10200,1039,11,0,0,5
187,20240102,100900,10200,10210,10190,10190,5689,58,0,0,5
188,20240102,101000,10190,10220,10190,10220,1625,17,0,0,5
189,20240102,101100,10200,10210,10190,10190,1147,12,0,0,5
190,20240102,101200,10190,10200,10190,10190,922,9,0,0,5
191,20240102,101300,10190,10200,10190,10190,530,5,0,0,5
192,20240102,101400,10200,10200,10190,10190,1076,11,0,0,5
193,20240102,101500,10190,10200,10190,10190,1571,16,0,0,5
194,20240102,101600,10200,10220,10200,10220,562,6,0,0,5
195,20240102,101700,10220,10220,10200,10220,291,3,0,0,5
196,20240102,101800,10220,10220,10200,10220,462,5,0,0,5
197,20240102,101900,10210,10210,10200,10200,506,5,0,0,5
198,20240102,102000,10210,10210,10200,10210,263,3,0,0,5
199,20240102,102100,10210,10210,10180,10180,5397,55,0,0,5
200,20240102,102200,10190,10190,10170,10170,9407,96,0,0,5
201,20240102,102300,10170,10190,10170,10190,360,4,0,0,5
202,20240102,102400,10190,10190,10170,10170,783,8,0,0,5
203,20240102,102500,10180,10180,10170,10180,388,4,0,0,5
204,20240102,102600,10170,10180,10170,10180,180,2,0,0,5
205,20240102,102700,10180,10180,10170,10170,1121,11,0,0,5
206,20240102,102800,10180,10180,10180,10180,790,8,0,0,5
207,20240102,102900,10190,10200,10190,10190,258,3,0,0,5
208,20240102,103000,10190,10200,10180,10200,1040,11,0,0,5
209,20240102,103100,10190,10200,10190,10200,44,0,0,0,5
210,20240102,103200,10200,10200,10200,10200,41,0,0,0,5
211,20240102,103300,10200,10200,10190,10190,361,4,0,0,5
212,20240102,103400,10200,10200,10190,10200,228,2,0,0,5
213,20240102,103500,10200,10200,10190,10200,203,2,0,0,5
214,20240102,103600,10200,10200,10190,10190,112,1,0,0,5
215,20240102,103700,10200,10200,10190,10190,207,2,0,0,5
216,20240102,103800,10200,10200,10190,10200,135,1,0,0,5
217,20240102,103900,10200,10200,10190,10190,55,1,0,0,5
218,20240102,104000,10200,10200,10190,10200,682,7,0,0,5
219,20240102,104100,10200,10200,10190,10200,306,3,0,0,5
220,20240102,104200,10200,10200,10190,10190,118,1,0,0,5
221,20240102,104300,10190,10200,10190,10200,396,4,0,0,5
222,20240102,104400,10200,10200,10180,10190,5441,55,0,0,5
223,20240102,104500,10180,10190,10180,10180,388,4,0,0,5
224,20240102,104600,10190,10200,10190,10200,338,3,0,0,5
225,20240102,104700,10190,10200,10190,10190,485,5,0,0,5
226,20240102,104800,10190,10200,10190,10190,2534,26,0,0,5
227,20240102,104900,10190,10200,10190,10200,85,1,0,0,5
228,20240102,105000,10190,10200,10190,10200,153,2,0,0,5
229,20240102,105100,10200,10200,10190,10190,219,2,0,0,5
230,20240102,105200,10200,10200,10190,10190,264,3,0,0,5
231,20240102,105300,10190,10200,10180,10200,1457,15,0,0,5
232,20240102,105400,10200,10200,10180,10180,129,1,0,0,5
233,20240102,105500,10190,10190,10180,10190,169,2,0,0,5
234,20240102,105600,10190,10190,10180,10190,2203,22,0,0,5
235,20240102,105700,10190,10200,10190,10190,340,3,0,0,5
236,20240102,105800,10200,10200,10180,10180,3134,32,0,0,5
237,20240102,105900,10180,10200,10180,10190,2174,22,0,0,5
238,20240102,110000,10190,10190,10180,10190,701,7,0,0,5
239,20240102,110100,10180,10190,10180,10180,255,3,0,0,5
240,20240102,110200,10180,10190,10180,10190,263,3,0,0,5
241,20240102,110300,10190,10190,10180,10180,637,6,0,0,5
242,20240102,110400,10180,10190,10180,10190,325,3,0,0,5
243,20240102,110500,10180,10190,10180,10190,154,2,0,0,5
244,20240102,110600,10190,10190,10180,10180,63,1,0,0,5
245,20240102,110700,10180,10190,10180,10190,1241,13,0,0,5
246,20240102,110800,10190,10190,10180,10180,693,7,0,0,5
247,20240102,110900,10190,10190,10180,10180,137,1,0,0,5
248,20240102,111000,10190,10190,10180,10190,199,2,0,0,5
249,20240102,111100,10180,10190,10180,10190,318,3,0,0,5
250,20240102,111200,10180,10190,10180,10180,390,4,0,0,5
251,20240102,111300,10180,10190,10180,10190,95,1,0,0,5
252,20240102,111400,10190,10190,10180,10180,74,1,0,0,5
253,20240102,111500,10180,10190,10180,10180,186,2,0,0,5
254,20240102,111600,10190,10190,10180,10190,65,1,0,0,5
255,20240102,111700,10180,10190,10180,10190,403,4,0,0,5
256,20240102,111800,10180,10190,10170,10180,4043,41,0,0,5
257,20240102,111900,10180,10180,10180,10180,101,1,0,0,5
258,20240102,112000,10190,10190,10170,10170,2048,21,0,0,5
259,20240102,112100,10190,10190,10170,10170,245,2,0,0,5
260,20240102,112200,10170,10190,10170,10190,491,5,0,0,5
261,20240102,112300,10180,10190,10170,10180,753,8,0,0,5
262,20240102,112400,10180,10180,10170,10180,1136,12,0,0,5
263,20240102,112500,10180,10190,10180,10180,601,6,0,0,5
264,20240102,112600,10180,10180,10180,10180,431,4,0,0,5
265,20240102,112700,10180,10180,10180,10180,197,2,0,0,5
266,20240102,112800,10180,10180,10180,10180,688,7,0,0,5
267,20240102,112900,10180,10180,10170,10170,1675,17,0,0,5
268,20240102,113000,10180,10180,10170,10170,485,5,0,0,5
269,20240102,113100,10170,10180,10170,10170,305,3,0,0,5
270,20240102,113200,10170,10180,10170,10180,478,5,0,0,5
271,20240102,113300,10170,10180,10170,10170,377,4,0,0,5
272,20240102,113400,10170,10180,10160,10180,9097,93,0,0,5
273,20240102,113500,10170,10170,10160,10170,599,6,0,0,5
274,20240102,113600,10160,10170,10160,10160,449,5,0,0,5
275,20240102,113700,10170,10170,10160,10170,964,10,0,0,5
276,20240102,113800,10170,10170,10160,10160,1590,16,0,0,5
277,20240102,113900,10160,10170,10160,10160,480,5,0,0,5
278,20240102,114000,10170,10170,10160,10160,346,4,0,0,5
279,20240102,114100,10160,10170,10160,10160,297,3,0,0,5
280,20240102,114200,10160,10160,10140,10150,25279,257,0,0,5
